,File Name,Lub and Sys Length Error,Lub and Sys % Error,Dub and Dias Length Error,Dub and Dias % Error,BPM Error,BPM % Error
0,"03 Apex, S4, LLD, Bell.mp3",0.12383861915148292,40.30250918773387,0.022154877498415493,4.256460614489048,0,0.0
1,"04 Apex, Mid Sys Click, Supine, Bell.mp3",0.0015848458428847079,0.4915520835526049,0.12242789617523714,23.1432695983435,0,0.0
2,"05 Apex, S3, LLD, Bell.mp3",0.0017763246648873077,0.544884866529849,0.2130377949788973,40.285641135438226,0,0.0
3,"06 Apex, Early Sys Mur, Supine, Bell.mp3",0.009809837670517796,2.75433447622355,0.13366557237948956,22.800486554907472,0,0.0
4,"07 Apex, Mid Sys Mur, Supine, Bell.mp3",0.025268263006366642,6.710547877923364,0.0741108291472195,13.126253834080678,1,1.5625
5,"08 Apex, Late Sys Mur, Supine, Bell.mp3",0.0572014963755027,13.711406844696164,0.0805772437281782,15.217609769249899,0,0.0
6,"10 Apex, Sys Click & Late Sys Mur, LLD, Bell.mp3",0.018761353870643094,5.52346041279743,0.10403575753264543,20.39189830396144,1,1.4084507042253522
7,"11 Apex, S4 & Mid Sys Mur, LLD, Bell.mp3",0.08185191318154272,23.762761807288367,0.0014047705989022052,0.2527474989028797,0,0.0
8,"12 Apex, S3 & Holo Sys Mur, LLD, Bell.mp3",0.013883647630021534,4.61469769213232,0.18031554557217838,40.131862565972455,0,0.0
9,"15 Aortic, Sys Mur & Absent S2, Sitting, Bell.mp3",0.6947345908060196,inf,0.8752054788245255,inf,39,46.98795180722892
10,"16 Aortic, Early Dias Mur, Sitting, Bell.mp3",0.20237319918768182,68.2348522204305,0.057727145244062306,11.470868404185259,0,0.0
11,"17 Aortic, Sys & Dias Mur, Sitting, Bell.mp3",0.4749376578054393,318.7501059096908,0.24617314131326273,42.7458137373264,35,42.168674698795186
12,"22 Pulm, Split S2 & Eject Sys Mur, Supine, Diaph.mp3",0.12115195635947201,37.476701907811076,0.08852443310657654,16.390378283017316,3,4.285714285714286
